product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm,volume
office_furniture,12740.867313915858,55.627831715210355,41.86407766990291,37.919093851132686,75468.46925566343
party_supplies,2705.769230769231,32.30769230769231,16.5,22.73076923076923,16942.73076923077
pc_gamer,1429.6666666666667,17.666666666666668,20.0,20.0,7074.666666666667
perfumery,529.2569124423964,20.322580645161292,13.059907834101383,16.668202764976957,5136.2188940092165
pet_shop,3088.856745479833,32.98052851182197,20.126564673157162,26.749652294853963,22965.06675938804
security_and_services,812.5,26.5,28.5,13.0,10233.5
signaling_and_security,2969.8172043010754,30.50537634408602,23.892473118279568,20.817204301075268,22583.795698924732
small_appliances,4012.3982683982686,29.471861471861473,27.038961038961038,27.307359307359306,26913.238095238095
small_appliances_home_oven_and_coffee,3071.516129032258,31.322580645161292,22.838709677419356,23.870967741935484,23911.612903225807
sports_leisure,2024.6707359609347,31.280083711196372,18.109870945238924,20.82420648761772,14725.348796651551
stationery,1763.113074204947,29.062426383981155,19.586572438162545,23.346289752650176,16240.032979976442
tablets_printing_image,381.44444444444446,28.11111111111111,9.444444444444445,21.555555555555557,7182.222222222223
telephony,236.50617283950618,18.432980599647266,6.853615520282187,13.248677248677248,1865.8412698412699
toys,1869.3564847625798,31.75478384124734,20.72289156626506,24.926293408929837,19625.812898653436
watches_gifts,509.2874341610233,19.22272385252069,10.292701279157262,15.268623024830699,3470.398043641836
